Age,I learn better by reading what the teacher writes on the chalkboard.,"When I read instructions, I remember them better.",I understand better when I read instructions.,I learn better by reading than by listening to someone.,I learn more by reading textbooks than by listening to lectures.,When the teacher tells me the instructions I understand better,"When someone tells me how to do something in class, I learn it better.",I remember things I have heard in class better than things I have read.,I learn better in class when the teacher gives a lecture.,I learn better in class when I listen to someone.,I prefer to learn by doing something in class.,"When I do things in class, I learn better.",I enjoy learning in class by doing experiments.,I understand things better in class when I participate in role-playing.,I understand things better in class when I participate in role-playing..1,Learner,Gender_Female,Gender_Male
15,2,2,3,2,4,3,3,2,2,3,1,3,3,2,3,K,1,0
16,4,3,3,3,2,3,2,4,2,2,2,2,2,3,3,A,1,0
15,3,3,3,2,3,3,2,2,3,3,3,2,2,2,2,A,0,1
16,3,2,2,2,4,2,4,2,4,3,2,3,3,2,3,V,0,1
17,2,2,1,2,1,3,2,2,3,2,2,1,3,1,2,V,0,1
16,3,2,1,2,1,2,1,2,4,3,3,3,3,3,4,K,0,1
17,3,2,4,4,2,3,4,3,3,2,5,4,4,2,3,K,0,1
17,4,3,3,2,4,3,3,3,3,4,2,2,3,3,3,K,0,1
19,2,4,2,2,2,1,3,2,4,3,2,3,3,2,5,K,1,0
18,2,3,2,3,4,4,2,3,3,3,4,4,4,4,5,K,0,1
17,3,2,1,2,3,2,1,3,1,2,2,1,3,3,3,K,1,0
17,3,3,1,3,2,3,1,4,1,4,3,1,3,3,1,V,0,1
17,4,3,2,4,3,3,3,3,2,2,1,2,1,2,2,A,1,0
17,3,3,3,2,2,2,3,2,3,3,2,3,2,3,5,K,0,1
16,5,3,5,4,3,4,4,4,4,4,3,4,4,3,5,K,0,1
17,4,1,4,3,2,3,2,4,3,3,2,3,3,4,5,K,0,1
16,4,3,3,2,3,3,3,2,2,4,4,5,4,5,5,K,1,0
17,5,2,3,4,3,3,4,3,3,3,4,3,2,4,4,K,1,0
18,3,3,3,5,3,4,4,5,3,3,4,3,3,5,4,K,1,0
18,4,2,5,3,3,2,4,4,2,1,3,5,3,2,3,A,1,0
16,3,2,4,4,5,3,4,4,2,4,3,5,2,4,4,K,0,1
16,3,3,5,4,4,4,3,2,4,4,3,4,2,5,5,K,1,0
16,3,5,3,3,3,1,2,4,3,2,2,5,5,3,3,K,0,1
16,2,4,1,4,2,3,3,2,4,3,3,4,5,5,4,K,1,0
17,4,2,5,2,4,5,4,3,4,2,5,2,4,4,4,K,0,1
16,3,3,3,2,2,1,4,2,4,2,4,3,2,4,3,K,1,0
17,4,5,2,4,4,2,4,2,4,3,2,4,4,3,4,A,1,0
16,4,4,2,4,2,4,3,3,3,2,3,4,2,4,3,K,1,0
15,3,4,4,2,3,4,2,5,2,4,2,4,2,3,3,V,0,1
17,4,4,4,3,3,3,2,4,2,4,4,3,3,2,2,A,0,1
17,5,3,3,1,2,3,2,2,4,4,3,3,3,3,5,K,0,1
16,4,3,2,4,2,4,4,4,4,3,4,3,3,4,3,V,1,0
16,4,3,3,4,4,3,3,4,2,4,3,3,3,3,3,A,1,0
16,2,4,1,4,3,4,2,4,3,2,3,2,3,4,2,V,1,0
17,3,5,2,4,5,3,4,3,4,3,4,4,3,4,4,K,0,1
16,5,4,3,3,3,3,4,3,4,3,5,3,4,3,4,K,0,1
16,1,3,2,3,3,4,3,3,2,3,4,3,4,3,4,K,1,0
17,3,4,2,4,2,4,3,4,5,1,4,4,4,4,4,K,0,1
17,5,3,5,3,4,4,3,5,3,5,4,4,4,3,3,K,1,0
18,3,4,3,2,3,3,3,4,3,4,3,5,3,4,3,K,1,0
19,3,3,1,4,3,3,4,2,2,4,1,1,2,2,4,V,1,0
15,3,2,2,1,2,3,1,3,2,2,1,5,2,5,2,K,0,1
18,3,4,2,4,3,3,3,5,3,5,4,4,4,5,5,K,1,0
16,4,3,2,2,3,2,4,3,2,2,2,3,3,3,2,A,1,0
18,4,5,1,4,3,4,1,2,4,4,4,3,4,5,3,K,1,0
15,5,4,3,4,5,4,3,4,4,3,2,2,2,2,4,A,0,1
16,4,3,2,3,2,1,4,4,4,3,2,3,4,3,2,V,0,1
19,5,5,2,4,2,2,3,4,2,2,3,4,2,5,3,A,0,1
18,4,4,2,3,2,4,2,4,1,4,2,4,2,4,2,K,0,1
16,4,4,3,2,4,2,5,4,3,4,3,3,5,2,4,V,1,0
19,1,4,3,4,2,2,2,2,1,4,2,3,3,3,5,K,1,0
20,2,3,3,4,4,2,4,4,2,3,5,3,4,3,4,K,1,0
19,1,4,2,5,2,4,2,4,3,4,2,4,2,5,3,V,1,0
17,4,3,2,3,3,2,2,2,4,3,4,3,4,3,4,K,0,1
17,2,4,2,4,2,5,3,5,5,4,3,5,5,3,5,V,1,0
16,2,5,2,4,3,5,3,5,3,3,5,5,5,4,4,K,1,0
16,4,3,4,4,3,3,4,3,5,3,4,3,5,5,2,K,1,0
17,3,4,2,4,2,4,5,5,2,5,4,5,2,5,3,V,1,0
20,4,3,4,4,5,3,4,2,4,3,4,3,5,4,5,K,0,1
17,4,4,3,4,4,3,4,4,5,3,5,4,5,4,3,K,0,1
16,5,3,3,5,5,4,3,4,4,4,4,4,5,3,2,A,0,1
17,4,4,3,3,4,2,5,3,3,3,4,4,3,3,5,K,1,0
16,4,3,3,3,5,2,4,4,3,4,2,4,3,2,3,A,1,0
19,3,4,3,4,5,4,4,3,4,4,3,4,3,3,3,K,1,0
19,4,4,2,4,3,4,4,2,4,4,4,3,3,5,3,K,1,0
20,4,3,2,3,4,3,4,3,4,3,5,2,4,4,2,K,1,0
19,3,4,5,2,4,5,3,5,2,4,3,2,4,4,3,V,1,0
19,3,5,5,3,5,4,3,5,5,4,4,4,2,4,5,K,0,1
19,4,4,3,4,3,3,3,4,3,5,3,4,3,5,3,K,0,1
20,4,5,3,4,5,3,4,4,3,3,1,2,2,1,2,A,1,0
20,2,2,4,3,1,2,3,2,2,1,2,2,3,3,2,K,1,0
18,4,3,2,3,2,3,3,3,2,3,3,2,3,4,3,K,1,0
18,5,3,3,4,2,4,2,4,3,4,3,4,2,3,3,K,1,0
21,4,4,2,4,2,4,3,4,4,3,3,5,5,3,3,K,0,1
18,4,4,3,3,4,4,2,4,2,1,2,2,2,2,2,A,1,0
19,3,4,1,4,4,4,3,4,4,2,2,4,2,3,2,V,1,0
17,4,3,2,3,2,3,2,3,2,4,2,4,2,2,4,K,0,1
20,3,4,2,4,4,3,2,4,3,4,2,4,4,4,2,A,0,1
16,4,5,5,4,4,3,2,3,4,4,2,2,5,2,4,A,1,0
18,4,4,2,5,5,5,3,4,3,2,3,2,3,2,3,A,1,0
16,4,4,4,4,2,3,2,4,2,4,2,4,4,5,3,K,1,0
18,4,5,5,4,3,4,5,5,4,4,5,4,4,4,3,V,1,0
19,5,3,4,4,3,5,3,5,4,5,4,2,4,4,4,V,0,1
18,4,4,3,3,2,3,2,3,3,2,2,4,3,2,3,A,0,1
18,5,5,4,5,3,5,4,5,2,3,3,4,1,3,3,A,1,0
19,4,3,3,4,3,4,3,4,3,2,2,3,2,3,2,A,1,0
17,2,1,3,2,3,2,1,1,3,1,2,1,3,3,4,K,0,1
18,1,2,2,2,1,2,3,3,2,2,1,2,2,4,3,K,0,1
19,3,3,2,3,4,4,5,5,3,4,4,3,4,4,4,V,0,1
18,1,3,2,2,2,3,2,2,1,1,3,1,1,2,1,A,0,1
19,3,2,2,3,2,1,3,2,1,1,2,3,3,2,2,K,1,0
18,3,3,2,4,2,4,2,3,2,1,1,3,2,1,3,A,0,1
20,4,2,3,2,2,1,3,1,3,2,4,2,2,3,3,K,0,1
20,1,3,3,3,2,3,3,2,2,3,1,3,1,1,2,V,1,0
20,3,2,3,2,3,2,3,2,3,2,3,2,4,2,4,K,1,0
21,3,3,2,3,3,1,4,3,4,3,3,2,2,2,2,V,0,1
18,1,2,3,2,2,3,2,3,2,2,2,2,2,4,3,K,0,1
18,2,5,4,3,4,3,3,2,1,3,1,2,1,3,2,A,0,1
17,2,2,4,2,2,1,5,2,4,5,4,2,4,4,5,K,0,1
18,2,2,3,3,2,1,2,2,1,3,2,2,2,1,3,A,0,1
18,4,5,4,5,4,4,2,2,2,4,2,3,2,3,3,A,1,0
19,3,4,3,4,3,3,4,4,4,4,5,5,4,3,3,K,0,1
21,3,2,4,4,3,3,2,4,2,3,5,3,2,3,1,A,0,1
15,2,1,2,2,2,3,2,1,3,2,2,2,2,2,2,V,1,0
21,1,2,3,2,2,2,2,2,2,1,2,1,3,2,3,K,0,1
19,1,1,4,2,4,3,3,3,4,4,2,4,2,4,2,V,0,1
20,5,4,4,5,3,4,4,3,5,4,4,3,3,3,2,A,0,1
20,2,2,2,3,4,3,2,2,1,1,1,2,3,2,3,A,0,1
20,3,2,2,3,3,2,3,2,2,3,2,1,4,4,3,K,1,0
20,2,5,5,3,4,4,4,3,4,3,4,5,2,4,3,A,1,0
18,3,3,2,2,3,2,3,4,2,4,2,3,4,2,4,K,1,0
19,1,3,3,2,3,2,3,3,2,3,3,2,3,3,2,K,0,1
20,2,2,2,2,2,2,2,2,1,3,3,2,2,1,2,K,0,1
19,2,4,4,3,5,4,4,3,4,3,4,5,4,4,4,K,0,1
16,4,4,2,3,3,3,3,3,4,4,3,4,4,3,5,K,1,0
17,4,4,5,4,5,4,3,5,4,4,4,3,4,4,4,A,0,1
16,3,3,3,3,3,3,3,2,3,4,3,3,3,4,4,K,1,0
16,2,4,4,3,4,5,3,4,4,4,4,3,3,4,3,V,0,1
18,3,4,5,4,4,5,4,3,3,4,4,3,3,3,5,A,0,1
16,5,4,4,2,3,3,3,4,4,3,4,5,3,4,3,K,1,0
20,2,4,4,3,2,5,3,5,3,4,3,4,4,3,3,V,0,1
20,2,5,4,3,2,2,2,1,2,3,2,3,2,2,2,A,1,0
20,1,4,4,3,3,3,4,4,3,4,3,4,3,4,4,K,1,0
19,2,3,3,3,3,2,2,3,3,3,3,3,2,3,2,A,1,0
21,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,K,1,0
20,2,4,3,3,3,4,4,5,3,3,4,3,4,4,4,K,1,0
19,4,4,3,4,3,3,3,4,3,3,4,4,4,5,3,K,1,0
19,4,2,3,4,3,2,3,3,3,2,2,3,3,2,2,A,1,0
19,3,4,3,4,3,4,3,4,4,3,4,4,3,3,3,V,1,0
16,2,4,4,3,3,4,3,3,2,3,2,2,2,3,3,A,1,0
16,3,3,2,2,3,2,1,2,3,3,3,2,3,3,2,K,1,0
16,3,3,1,3,3,2,3,2,2,2,3,2,2,2,3,A,1,0
20,3,3,2,2,3,2,2,2,2,2,3,2,4,3,2,K,0,1
19,4,4,4,4,3,4,3,3,3,4,3,3,4,3,3,A,0,1
21,4,3,3,3,3,4,3,2,4,4,4,4,4,3,2,K,1,0
20,4,4,4,4,4,2,5,4,3,5,4,5,4,3,5,K,1,0
16,4,3,5,3,3,5,4,3,3,4,4,4,5,5,3,K,1,0
20,1,3,2,4,3,2,2,3,2,3,2,2,3,2,3,A,1,0
20,4,4,5,4,4,5,4,5,5,3,4,4,4,3,5,V,1,0
18,2,3,3,2,3,3,2,2,2,2,2,2,4,4,3,K,1,0
17,2,4,3,3,4,3,4,3,4,3,4,3,4,4,3,K,1,0
16,4,4,5,4,3,5,3,2,4,3,3,4,4,4,4,A,1,0
20,3,3,3,3,3,2,3,3,3,3,5,5,3,4,4,K,1,0
20,2,5,4,3,4,3,3,3,3,4,5,4,5,4,3,K,0,1
16,1,2,4,2,2,3,2,2,3,3,2,3,2,2,3,V,1,0
18,2,1,2,4,2,2,4,2,2,2,3,3,2,2,3,K,0,1
20,3,3,2,3,3,2,3,2,3,2,2,2,3,2,3,A,1,0
20,2,3,4,2,4,3,3,4,3,4,4,4,3,5,3,K,0,1
19,4,4,2,4,4,4,4,3,4,5,4,5,5,4,4,K,1,0
17,3,2,3,3,2,3,2,3,3,2,3,3,2,3,2,K,1,0
16,2,3,2,3,3,2,4,2,4,2,2,4,4,2,4,K,1,0
19,4,5,3,4,5,2,5,3,3,5,4,3,4,4,3,A,1,0
18,3,4,3,4,4,3,4,4,4,3,5,5,4,2,3,K,1,0
17,4,4,3,4,4,2,3,3,5,4,3,5,4,5,4,K,0,1
17,3,4,3,4,3,4,2,2,2,2,2,3,4,3,3,A,0,1
16,2,2,3,2,3,3,3,2,2,1,3,2,2,2,3,K,1,0
16,3,4,2,3,2,3,2,3,3,3,3,4,3,4,2,K,0,1
16,3,4,3,3,4,4,4,3,3,4,3,4,4,4,4,K,0,1
16,4,4,4,2,4,3,3,2,3,2,5,4,3,4,2,K,0,1
18,4,4,3,4,4,3,4,3,4,4,3,3,4,3,4,A,0,1
16,3,3,3,4,3,3,5,4,5,4,4,3,4,4,3,V,0,1
16,3,4,2,4,4,3,4,3,4,3,4,4,3,4,4,K,1,0
19,5,4,4,3,5,4,4,3,4,3,3,4,3,3,3,A,0,1
18,3,3,2,5,4,4,4,4,3,5,5,4,4,3,4,K,1,0
17,4,4,3,4,4,4,5,4,4,5,4,4,3,4,2,V,0,1
16,5,4,3,3,4,4,4,3,4,3,5,4,4,4,3,K,0,1
18,4,4,3,4,3,4,3,5,4,3,4,4,3,3,5,K,0,1
17,4,5,2,4,3,3,2,2,3,2,3,3,3,3,2,A,0,1
16,4,3,3,3,2,3,3,2,3,3,3,2,2,3,3,A,1,0
17,4,2,3,3,2,3,3,2,2,5,3,5,2,3,3,K,1,0
16,3,3,2,3,3,3,2,2,2,3,3,3,2,2,2,A,1,0
18,1,2,2,4,3,2,4,2,2,3,2,5,2,5,2,K,1,0
16,1,3,3,3,3,2,2,2,4,3,3,3,3,3,4,K,0,1
18,2,1,3,3,2,3,2,2,3,3,2,2,3,2,2,V,0,1
18,4,3,3,4,2,3,3,5,3,3,4,3,5,3,4,K,0,1
17,3,5,3,4,2,4,3,3,3,3,3,5,4,3,2,K,0,1
17,2,4,3,3,2,4,3,4,2,4,2,4,3,3,3,V,1,0
18,3,4,3,4,2,4,3,3,3,2,3,2,3,3,3,A,1,0
16,3,2,2,3,2,2,4,3,2,3,2,4,2,3,3,K,0,1
15,3,4,3,1,3,2,2,3,2,4,2,3,2,4,2,A,1,0
17,5,4,3,4,3,4,3,4,4,4,5,3,4,4,3,K,1,0
17,3,3,3,5,5,3,3,3,2,4,1,4,2,4,3,A,1,0
17,4,4,3,3,4,3,4,4,3,4,3,4,5,3,4,K,1,0
17,4,4,3,2,4,2,5,3,4,2,4,4,2,5,3,K,0,1
17,3,4,3,4,4,3,4,4,5,4,3,4,3,3,3,V,0,1
17,3,5,3,4,4,4,3,4,3,5,2,5,5,4,3,K,1,0
20,3,3,5,3,4,4,4,5,3,4,5,4,4,4,3,K,0,1
19,4,3,4,4,4,3,4,4,4,5,5,4,4,2,3,V,1,0
16,2,4,4,4,5,5,5,3,5,2,5,4,3,5,3,K,0,1
20,4,5,4,5,5,4,3,5,3,4,3,4,3,3,5,A,0,1
19,5,4,3,5,4,5,5,3,4,3,4,5,3,3,4,A,0,1
18,3,5,4,4,2,4,3,4,4,3,5,4,4,3,2,K,0,1
18,4,5,3,4,4,4,3,4,4,4,4,5,4,4,4,K,1,0
17,3,4,3,5,3,4,4,2,3,3,4,3,3,2,4,A,0,1
17,3,3,5,4,2,4,2,4,3,3,4,3,4,4,3,K,0,1
19,3,4,3,3,3,5,4,1,3,4,2,4,4,2,4,V,0,1
19,3,5,4,4,2,4,3,4,4,2,5,4,2,4,5,K,0,1
20,3,4,2,4,5,2,5,3,4,4,3,4,3,3,4,K,0,1
17,3,4,3,4,4,2,4,4,2,4,4,3,5,4,3,K,1,0
17,4,4,2,2,2,3,3,3,2,3,3,3,3,3,2,K,0,1
17,4,3,2,4,3,4,2,4,3,3,4,4,3,4,4,K,1,0
18,2,4,3,3,4,2,4,2,4,2,4,3,4,2,5,K,0,1
20,3,2,3,5,2,4,4,3,4,4,4,3,4,3,4,V,0,1
19,5,4,4,3,3,4,4,3,4,3,4,5,3,4,3,K,0,1
19,5,4,3,3,4,3,5,3,5,3,3,5,4,3,4,K,0,1
20,4,4,3,4,2,3,2,4,2,5,3,3,5,4,4,K,1,0
18,5,5,3,4,3,4,4,3,3,2,2,1,3,3,3,A,0,1
19,5,3,3,3,4,4,4,3,3,4,4,3,4,4,4,K,0,1
19,4,3,4,3,4,4,4,4,3,5,3,4,3,4,3,V,0,1
18,3,2,3,4,3,3,4,3,2,5,3,4,4,2,5,K,1,0
18,5,3,4,4,3,4,3,4,2,2,5,3,4,2,5,K,0,1
19,3,4,2,4,4,2,4,1,4,3,3,4,4,3,4,K,0,1
18,4,5,2,5,3,3,4,3,2,3,2,2,3,2,3,A,0,1
19,3,4,4,2,3,3,2,3,4,3,4,2,4,3,2,A,0,1
16,4,3,2,2,2,5,4,3,4,3,4,5,4,3,4,K,0,1
20,3,5,2,4,3,3,4,3,4,2,4,3,4,4,3,K,1,0
20,2,1,2,5,2,4,3,3,4,5,3,3,3,3,4,V,0,1
19,3,4,3,5,5,3,4,5,4,2,2,2,2,2,2,A,0,1
17,2,3,2,3,3,3,2,2,2,2,2,3,3,3,2,K,0,1
18,4,2,4,2,4,2,3,3,2,3,3,3,2,4,2,A,0,1
20,2,4,4,3,4,5,2,4,4,3,2,4,2,4,2,V,1,0
17,3,4,3,2,3,2,3,2,4,3,3,2,4,3,4,K,0,1
17,4,4,2,3,3,4,3,4,3,4,3,4,3,4,2,V,0,1
19,3,4,4,3,4,3,2,4,3,5,3,3,5,3,4,K,0,1
19,5,2,5,5,3,5,3,4,3,5,3,4,5,4,4,K,0,1
18,4,3,4,4,3,4,2,4,2,4,3,4,5,3,3,K,1,0
17,5,5,3,5,4,3,4,2,4,4,3,4,4,3,5,A,0,1
18,4,4,4,5,4,5,3,3,4,2,5,4,2,4,4,A,0,1
16,3,2,4,5,4,5,4,5,4,4,3,4,5,4,5,V,1,0
17,4,3,3,3,4,5,4,3,4,5,4,4,3,4,4,V,0,1
18,3,5,4,4,4,3,5,4,3,5,4,5,4,4,3,K,0,1
18,4,4,3,3,4,3,5,5,5,3,2,4,3,4,3,V,0,1
18,5,3,3,5,4,5,4,4,5,4,3,4,4,3,4,V,1,0
19,3,3,3,4,4,2,4,4,3,3,5,5,4,4,4,K,1,0
17,3,5,4,4,3,4,3,4,3,4,3,5,4,4,4,K,0,1
18,4,4,3,3,4,4,4,5,4,4,4,4,4,5,5,K,1,0
19,1,3,2,3,3,2,3,2,2,2,2,2,3,3,2,K,1,0
21,3,2,4,4,4,3,5,3,4,3,4,2,3,4,3,V,0,1
18,3,2,3,4,3,1,3,2,2,3,2,2,4,2,3,A,1,0
18,3,4,5,3,2,4,4,2,4,2,4,2,4,2,4,A,1,0
20,3,5,4,3,3,5,3,2,4,4,3,4,1,4,2,K,0,1
20,2,4,4,2,3,2,4,2,4,2,4,2,3,2,3,A,0,1
21,2,3,3,3,2,3,2,4,4,1,5,2,4,4,2,K,0,1
17,3,3,3,3,2,4,2,2,3,1,2,1,4,5,3,K,0,1
18,4,5,3,1,3,2,3,4,2,3,2,4,4,2,3,A,0,1
18,2,3,3,4,2,3,4,4,3,3,4,4,4,4,5,K,0,1
17,4,4,4,3,5,4,3,3,5,5,5,4,4,4,3,K,0,1
16,2,3,4,3,3,4,3,5,4,4,4,4,5,4,4,K,0,1
18,3,5,4,4,3,5,3,4,4,5,4,4,4,4,5,K,1,0
18,4,4,3,4,4,5,3,4,4,2,4,4,3,4,4,K,1,0
16,5,4,3,4,4,5,5,4,4,4,5,5,4,4,3,V,1,0
18,4,5,4,3,3,4,3,5,3,5,5,2,5,5,3,K,0,1
17,3,4,4,2,4,3,5,3,5,4,5,4,5,3,4,K,0,1
18,4,4,5,4,3,5,3,4,5,4,5,3,5,4,4,K,1,0
17,5,4,4,5,5,3,4,4,3,5,4,3,5,3,5,A,0,1
19,4,4,2,4,4,3,5,2,4,3,4,4,3,5,3,K,0,1
18,5,4,1,4,4,5,4,4,4,3,4,5,4,4,4,K,1,0
19,4,5,4,4,5,5,4,4,4,4,4,4,4,3,5,A,0,1
19,5,5,4,3,4,3,4,3,4,4,4,4,4,4,4,A,0,1
19,3,4,4,4,5,4,3,4,4,4,3,4,3,2,3,A,0,1
17,2,4,3,5,3,3,4,3,4,3,3,3,4,4,3,K,1,0
17,5,5,4,4,4,4,4,3,4,3,3,3,3,3,4,A,0,1
16,3,4,4,4,3,4,3,3,3,4,5,4,4,4,4,K,0,1
17,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,K,0,1
17,3,4,4,4,4,4,3,3,4,5,3,4,3,4,3,K,0,1
18,4,4,3,4,4,3,4,2,3,3,3,3,3,3,3,A,1,0
19,4,3,5,4,4,3,4,3,3,3,5,4,3,3,4,A,0,1
17,2,3,3,3,3,3,3,3,3,3,4,3,3,4,3,K,1,0
16,4,3,4,3,4,4,4,3,3,4,3,4,4,4,2,K,0,1
17,3,5,3,4,5,4,4,4,4,4,5,3,5,4,3,K,1,0
17,4,4,3,4,4,3,4,3,3,3,4,4,3,3,3,A,1,0
16,5,3,5,4,4,4,4,4,2,5,3,3,4,3,3,A,0,1
16,4,4,3,4,4,5,4,3,4,3,5,4,4,3,4,K,0,1
17,4,4,3,4,3,4,3,3,3,4,3,4,3,4,5,K,0,1
16,3,4,3,5,3,3,5,3,5,4,2,4,4,4,3,V,1,0
18,3,5,3,4,4,3,4,3,4,4,3,5,5,3,3,K,0,1
19,3,4,3,4,4,4,3,4,4,4,3,4,3,4,3,V,0,1
18,3,4,2,4,4,4,4,3,4,4,3,3,4,4,4,V,1,0
17,4,5,4,4,3,4,2,4,3,3,4,4,3,3,4,A,0,1
16,3,4,4,3,2,3,3,3,3,2,3,4,3,3,4,K,0,1
16,4,3,3,4,4,4,3,5,3,3,3,3,4,4,3,K,0,1
16,4,3,4,3,3,4,3,3,3,3,4,4,3,4,4,K,0,1
17,2,3,2,3,3,4,4,4,3,2,3,4,3,4,2,V,0,1
18,4,4,4,3,5,2,3,3,4,3,4,4,3,3,4,A,0,1
17,4,3,4,4,3,4,3,4,2,3,2,2,3,2,3,A,0,1
17,3,4,2,5,4,4,4,5,2,3,3,2,2,2,3,K,0,1
17,4,4,2,2,3,2,2,3,4,3,2,2,3,2,2,A,1,0
17,3,3,2,3,3,3,2,2,3,3,2,3,3,2,2,A,0,1
16,3,2,3,2,4,3,2,3,4,3,4,3,2,3,3,K,0,1
16,4,4,4,4,3,3,4,4,3,2,4,3,4,2,3,A,1,0
15,3,3,3,3,2,3,3,2,3,4,3,3,3,1,3,V,0,1
17,2,3,2,3,3,3,2,3,3,2,3,3,3,3,3,K,1,0
16,5,4,4,3,3,3,5,4,2,4,4,3,3,4,4,A,1,0
16,4,4,3,4,4,4,4,5,3,4,4,4,4,4,3,V,1,0
18,4,3,4,4,3,3,4,4,4,4,4,3,3,4,4,V,0,1
16,5,3,4,4,4,3,3,4,4,4,3,4,3,4,3,A,1,0
16,4,3,4,4,3,3,4,3,4,4,3,3,4,4,4,K,1,0
15,4,3,4,3,3,4,3,3,4,3,3,3,4,4,3,K,1,0
17,5,3,4,5,4,3,3,4,3,4,4,3,4,3,3,A,1,0
15,4,4,4,3,4,4,3,3,4,4,4,3,3,4,4,A,1,0
17,3,4,3,4,4,3,5,4,5,5,4,3,4,4,3,V,1,0
16,3,4,3,3,3,4,5,3,4,3,4,4,4,5,4,K,1,0
17,4,3,4,3,4,3,4,4,4,3,3,3,4,3,3,K,1,0
16,4,3,4,3,3,4,3,4,4,4,3,4,3,4,3,V,0,1
16,4,3,4,5,3,4,4,4,4,3,3,3,4,4,4,K,0,1
17,5,3,4,3,4,4,4,4,3,4,4,4,3,4,4,K,1,0
17,3,3,3,4,4,2,4,3,4,4,3,3,3,3,3,K,0,1
16,4,2,4,4,3,4,4,3,4,5,4,4,3,4,4,V,0,1
